,team,proj_record,proj_points_diff,prob_playoffs,prob_division
0,Bills1-0,12-5,142.0,89%,69%
1,Buccaneers,11-6,83.3,76%,58%
2,Packers,11-6,79.1,74%,54%
3,Chiefs,10-7,61.7,65%,37%
4,49ers,10-7,55.7,65%,44%
5,Cowboys,10-7,51.8,63%,37%
6,Bengals,9-8,33.3,55%,35%
7,Chargers,10-7,42.2,57%,28%
8,Colts,10-7,39.5,61%,48%
9,Ravens,10-7,37.5,56%,35%
10,Eagles,10-7,42.4,59%,33%
11,Vikings,9-8,27.9,55%,29%
12,Rams0-1,9-8,1.4,47%,25%
13,Saints,9-8,17.8,51%,28%
14,Broncos,9-8,24.4,50%,22%
15,Titans,9-8,8.9,50%,35%
16,Cardinals,8-9,-11.3,40%,20%
17,Patriots,9-8,2.9,42%,14%
18,Dolphins,9-8,8.4,43%,15%
19,Browns,7-10,-38.2,28%,14%
20,Commanders,8-9,-3.9,41%,18%
21,Raiders,8-9,-18.3,34%,13%
22,Steelers,8-9,-30.3,31%,15%
23,Giants,7-10,-35.1,29%,11%
24,Seahawks,7-10,-54.2,23%,10%
25,Lions,7-10,-58.2,22%,9%
26,Bears,7-10,-64.4,21%,8%
27,Panthers,7-10,-60.7,22%,9%
28,Jaguars,6-11,-79.7,17%,10%
29,Texans,5-12,-110.9,11%,6%
30,Falcons,6-11,-101.5,12%,5%
31,Jets,6-11,-93.3,12%,3%
