,Home_Team,Away_Team,Home_Odds,Away_Odds,Home_Prob_Odds,Away_Prob_Odds,Home_Prob_538,Away_Prob_538,Home_KC,Away_KC,Bet
0,Rams,Bills,106.0,-124.0,0.4854368932038835,0.5535714285714286,0.53,0.47,0.008660377358490576,0.0,866.0377358490576
1,Jets,Ravens,250.0,-310.0,0.2857142857142857,0.7560975609756098,0.38,0.62,0.013199999999999998,0.0,1319.9999999999998
2,Panthers,Browns,-108.0,-108.0,0.5192307692307693,0.5192307692307693,0.57,0.43,0.010559999999999996,0.0,1055.9999999999995
3,Texans,Colts,270.0,-335.0,0.2702702702702703,0.7701149425287356,0.33,0.67,0.008185185185185193,0.0,818.5185185185193
4,Commanders,Jaguars,-154.0,130.0,0.6062992125984252,0.43478260869565216,0.68,0.32,0.018720000000000014,0.0,1872.0000000000014
5,Dolphins,Patriots,-178.0,150.0,0.6402877697841727,0.4,0.58,0.42,0.0,0.003333333333333329,333.3333333333329
6,Falcons,Saints,198.0,-240.0,0.33557046979865773,0.7058823529411765,0.36,0.64,0.0036767676767676754,0.0,367.67676767676755
7,Lions,Eagles,198.0,-240.0,0.33557046979865773,0.7058823529411765,0.4,0.6,0.0096969696969697,0.0,969.6969696969701
8,Bengals,Steelers,-290.0,235.0,0.7435897435897436,0.29850746268656714,0.68,0.32,0.0,0.003063829787234045,306.3829787234045
9,Bears,49ers,250.0,-310.0,0.2857142857142857,0.7560975609756098,0.37,0.63,0.011800000000000001,0.0,1180.0000000000002
10,Vikings,Packers,100.0,-118.0,0.5,0.5412844036697247,0.47,0.53,0.0,0.0,0.0
11,Cardinals,Chiefs,230.0,-280.0,0.30303030303030304,0.7368421052631579,0.43,0.57,0.018217391304347817,0.0,1821.7391304347818
12,Titans,Giants,-260.0,215.0,0.7222222222222221,0.31746031746031744,0.69,0.31,0.0,0.0,0.0
13,Chargers,Raiders,-180.0,152.0,0.6428571428571429,0.39682539682539686,0.64,0.36,0.0,0.0,0.0
14,Cowboys,Buccaneers,126.0,-148.0,0.4424778761061947,0.5967741935483871,0.51,0.49,0.012111111111111118,0.0,1211.1111111111118
15,Seahawks,Broncos,220.0,-270.0,0.3125,0.7297297297297297,0.43,0.57,0.01709090909090909,0.0,1709.090909090909
